scenario,model,gain_std_db,phase_std_deg,snr_db,trials,trial,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,second_peak_azimuth_deg,second_peak_elevation_deg,second_peak_score,peak_to_second_db,azimuth_error_deg,elevation_error_deg
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,12,-20.0,-10.0,-20.0,-10.0,0.9868595011022505,-54.0,-15.0,0.952382654529833,0.15443849567657258,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,13,-20.0,-10.0,-20.0,-10.0,0.976161926307403,-54.0,-15.0,0.9440286601286728,0.14536685252207496,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,14,-20.0,-10.0,-20.0,-10.0,0.9802671816263353,-54.0,-15.0,0.9688882267443552,0.050707844388607703,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,15,-20.0,-10.0,-20.0,-10.0,0.9843300167132335,-23.0,-18.0,0.9426179706548726,0.18805013765394163,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,16,-20.0,-10.0,-20.0,-10.0,0.9699018898860363,-54.0,-15.0,0.9456341574705345,0.1100465449713234,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,17,-20.0,-10.0,-20.0,-10.0,0.973059104698206,-23.0,-18.0,0.9406914122719774,0.14692041305424455,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,18,-20.0,-10.0,-20.0,-10.0,0.9807317753559894,-23.0,-18.0,0.9573736997287932,0.10468753823728441,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,19,-20.0,-10.0,-20.0,-10.0,0.9817318701160773,-23.0,-18.0,0.9463485456184746,0.1594177077025295,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,0,-20.0,0.0,-20.0,0.0,0.9774052398690922,-26.0,0.0,0.9180479880225954,0.27209279801211866,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,1,-20.0,0.0,-20.0,0.0,0.97555542504099,6.0,11.0,0.9008971387074787,0.3457674078401659,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,2,-20.0,0.0,-20.0,0.0,0.9754926087514628,6.0,11.0,0.9194280317231894,0.2570624263854633,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,3,-20.0,0.0,-20.0,0.0,0.9827245294407321,-26.0,0.0,0.9210769038355969,0.2813590402845894,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,4,-20.0,0.0,-20.0,0.0,0.9800451867995508,-26.0,0.0,0.9080816984069178,0.3312117716737664,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,5,-20.0,0.0,-20.0,0.0,0.9716648035198091,-26.0,0.0,0.9029034966043669,0.3187513674054254,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,6,-20.0,0.0,-20.0,0.0,0.988711103415249,6.0,11.0,0.9245162416559851,0.2915486626140865,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,7,-20.0,0.0,-20.0,0.0,0.9816787370568537,-54.0,9.0,0.9138971620312184,0.31072055681326377,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,8,-20.0,0.0,-20.0,0.0,0.9873721825015347,-26.0,0.0,0.9160636190520783,0.3255525183776572,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,9,-20.0,0.0,-20.0,0.0,0.9856778638954473,-26.0,0.0,0.9206157275134523,0.2965661341466464,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,10,-20.0,0.0,-20.0,0.0,0.9888466503806533,-26.0,0.0,0.917199710911237,0.3266503757228967,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,11,-20.0,0.0,-20.0,0.0,0.9841564046272073,-26.0,0.0,0.9058602282111466,0.3600293071536647,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,12,-20.0,0.0,-20.0,0.0,0.9815204533074703,-26.0,0.0,0.9251929524929381,0.25667038085263705,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,13,-20.0,0.0,-20.0,0.0,0.9779391149076146,-26.0,0.0,0.9078310619021847,0.3230677880721362,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,14,-20.0,0.0,-20.0,0.0,0.9813351413918106,6.0,11.0,0.9133847427799072,0.3116359825443383,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,15,-20.0,0.0,-20.0,0.0,0.988782604833205,6.0,11.0,0.9101537589210256,0.3598605042493946,0.0,0.0
