INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
2166,BOTTOM,,1,3638.0766mil,4992.595mil,19.685mil,23.622mil,RECTANGLE,VASJHEBD,geometry_only_unconfirmed
2167,BOTTOM,,2,3677.4467mil,4992.595mil,19.685mil,23.622mil,RECTANGLE,JIYADRDO,geometry_only_unconfirmed
2168,BOTTOM,,1,4626.0614mil,3580.4142mil,19.685mil,23.622mil,RECTANGLE,CBODBVRE,geometry_only_unconfirmed
2169,BOTTOM,,2,4665.4315mil,3580.4142mil,19.685mil,23.622mil,RECTANGLE,FYRJSOFP,geometry_only_unconfirmed
2170,BOTTOM,,2,4449.2244mil,2796.4119mil,19.685mil,23.622mil,RECTANGLE,YFJCBITJ,geometry_only_unconfirmed
2171,BOTTOM,,1,4488.5945mil,2796.4119mil,19.685mil,23.622mil,RECTANGLE,VDNPWEDD,geometry_only_unconfirmed
2172,BOTTOM,,1,5310.2063mil,4676.4406mil,12.5984mil,14.1732mil,RECTANGLE,ORMYMAYT,geometry_only_unconfirmed
2173,BOTTOM,,2,5288.1591mil,4676.4406mil,12.5984mil,14.1732mil,RECTANGLE,EYCQOMPO,geometry_only_unconfirmed
2174,BOTTOM,,1,5310.2063mil,4833.9206mil,12.5984mil,14.1732mil,RECTANGLE,UPFPRONL,geometry_only_unconfirmed
2175,BOTTOM,,2,5288.1591mil,4833.9206mil,12.5984mil,14.1732mil,RECTANGLE,STFIGAJS,geometry_only_unconfirmed
2176,BOTTOM,,1,5310.2063mil,4875.4166mil,12.5984mil,14.1732mil,RECTANGLE,DPXWXRDQ,geometry_only_unconfirmed
2177,BOTTOM,,2,5288.1591mil,4875.4166mil,12.5984mil,14.1732mil,RECTANGLE,PQVHQFJV,geometry_only_unconfirmed
2178,BOTTOM,,1,4403.7852mil,2339.7631mil,19.685mil,23.622mil,RECTANGLE,MWXPXIMJ,geometry_only_unconfirmed
2179,BOTTOM,,2,4443.1553mil,2339.7631mil,19.685mil,23.622mil,RECTANGLE,VNAXVFQX,geometry_only_unconfirmed
2180,BOTTOM,,2,4388.5948mil,2401.4841mil,19.685mil,23.622mil,RECTANGLE,LRFYGSRS,geometry_only_unconfirmed
2181,BOTTOM,,1,4388.5948mil,2440.8542mil,19.685mil,23.622mil,RECTANGLE,BHYTVVCN,geometry_only_unconfirmed
2182,BOTTOM,,2,4523.4149mil,2339.7592mil,19.685mil,23.622mil,RECTANGLE,UCKWUEWA,geometry_only_unconfirmed
2183,BOTTOM,,1,4484.0448mil,2339.7592mil,19.685mil,23.622mil,RECTANGLE,IFYXJBDU,geometry_only_unconfirmed
2184,BOTTOM,,1,3745.8242mil,3001.5756mil,12.5984mil,14.1732mil,RECTANGLE,QRWAODTB,geometry_only_unconfirmed
2185,BOTTOM,,2,3745.8242mil,2979.5284mil,12.5984mil,14.1732mil,RECTANGLE,GVXDELPK,geometry_only_unconfirmed
2186,BOTTOM,,1,5310.2063mil,4712.9366mil,12.5984mil,14.1732mil,RECTANGLE,OFSHKXYP,geometry_only_unconfirmed
2187,BOTTOM,,2,5288.1591mil,4712.9366mil,12.5984mil,14.1732mil,RECTANGLE,UKJBCWAI,geometry_only_unconfirmed
2188,BOTTOM,,1,5310.2063mil,4802.4246mil,12.5984mil,14.1732mil,RECTANGLE,EQPBTGLU,geometry_only_unconfirmed
2189,BOTTOM,,2,5288.1591mil,4802.4246mil,12.5984mil,14.1732mil,RECTANGLE,ECISADDE,geometry_only_unconfirmed
2190,BOTTOM,,1,5244.1838mil,4585.9364mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,GCPJCLFA,geometry_only_unconfirmed
2191,BOTTOM,,2,5220.5618mil,4585.9364mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,ADDBKTYN,geometry_only_unconfirmed
2192,BOTTOM,,1,5180.0588mil,4444.3715mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,LVACWYTK,geometry_only_unconfirmed
2193,BOTTOM,,2,5156.4368mil,4444.3715mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,HXYUJOVK,geometry_only_unconfirmed
2194,BOTTOM,,1,5310.2063mil,4741.9326mil,12.5984mil,14.1732mil,RECTANGLE,YCYWHMYJ,geometry_only_unconfirmed
2195,BOTTOM,,2,5288.1591mil,4741.9326mil,12.5984mil,14.1732mil,RECTANGLE,CNCMCLFX,geometry_only_unconfirmed
2196,BOTTOM,,1,5310.2063mil,4770.9286mil,12.5984mil,14.1732mil,RECTANGLE,OTTCIPWJ,geometry_only_unconfirmed
2197,BOTTOM,,2,5288.1591mil,4770.9286mil,12.5984mil,14.1732mil,RECTANGLE,MEAVNYIM,geometry_only_unconfirmed
2198,BOTTOM,,1,3799.3412mil,5146.0002mil,68.8976mil,43.3071mil,RECTANGLE,VGEWWCIV,geometry_only_unconfirmed
2199,BOTTOM,,2,3693.042mil,5146.0002mil,68.8976mil,43.3071mil,RECTANGLE,CAKOTHAU,geometry_only_unconfirmed
2200,BOTTOM,,1,5263.2726mil,4505.4433mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,GEVSETUN,geometry_only_unconfirmed
2201,BOTTOM,,2,5263.2726mil,4529.0653mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,GQKFFIPN,geometry_only_unconfirmed
2202,BOTTOM,,2,5430.2518mil,3695.5383mil,19.685mil,23.622mil,RECTANGLE,ECYMSYYG,geometry_only_unconfirmed
