truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"1,0,2,3","2,0,1,3",-58.0,14.0,-68.0,12.0,0.4389959970471159,False
10.0,2.0,"1,0,2,3","2,0,3,1",-22.0,-9.0,-32.0,-11.0,0.591147595320936,False
10.0,2.0,"1,0,2,3","2,1,0,3",-3.0,1.0,-13.0,-1.0,0.6552756025736035,False
10.0,2.0,"1,0,2,3","2,1,3,0",19.0,10.0,9.0,8.0,0.6404879624445603,False
10.0,2.0,"1,0,2,3","2,3,0,1",-3.0,16.0,-13.0,14.0,0.6461281286447035,False
10.0,2.0,"1,0,2,3","2,3,1,0",-29.0,-15.0,-39.0,-17.0,0.6004915902870767,False
10.0,2.0,"1,0,2,3","3,0,1,2",19.0,10.0,9.0,8.0,0.4300053726997201,False
10.0,2.0,"1,0,2,3","3,0,2,1",-30.0,16.0,-40.0,14.0,0.5903328562444469,False
10.0,2.0,"1,0,2,3","3,1,0,2",35.0,9.0,25.0,7.0,0.656857649028294,False
10.0,2.0,"1,0,2,3","3,1,2,0",-56.0,7.0,-66.0,5.0,0.6602023750520297,False
10.0,2.0,"1,0,2,3","3,2,0,1",-50.0,18.0,-60.0,16.0,0.49502772151834024,False
10.0,2.0,"1,0,2,3","3,2,1,0",22.0,11.0,12.0,9.0,0.6326526425917824,False
10.0,2.0,"1,0,3,2","0,1,2,3",53.0,3.0,43.0,1.0,0.8341847227873448,False
10.0,2.0,"1,0,3,2","0,1,3,2",-23.0,-13.0,-33.0,-15.0,0.8858563317083177,False
10.0,2.0,"1,0,3,2","0,2,1,3",-15.0,17.0,-25.0,15.0,0.828749156366921,False
10.0,2.0,"1,0,3,2","0,2,3,1",-53.0,10.0,-63.0,8.0,0.5935631083807289,False
10.0,2.0,"1,0,3,2","0,3,1,2",18.0,-5.0,8.0,-7.0,0.8433400141886944,False
10.0,2.0,"1,0,3,2","0,3,2,1",12.0,9.0,2.0,7.0,0.863950725856119,False
10.0,2.0,"1,0,3,2","1,0,2,3",-22.0,20.0,-32.0,18.0,0.7791154315503334,False
10.0,2.0,"1,0,3,2","1,0,3,2",28.0,-13.0,18.0,-15.0,0.799100330816858,False
