actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg
pcb_copper_centroid,ideal_half_lambda,0.0,0.0,-8.428177446126813e-17,-5.1734741533259134e-17,-8.428177446126813e-17,-5.1734741533259134e-17
pcb_copper_centroid,ideal_half_lambda,20.0,0.0,37.04461072040679,-10.682822005456742,17.044610720406787,-10.682822005456742
pcb_copper_centroid,ideal_half_lambda,40.0,0.0,-12.334807463400734,-39.324723439084835,-52.334807463400736,-39.324723439084835
pcb_copper_centroid,ideal_half_lambda,60.0,0.0,17.587897096503855,-48.73701815096334,-42.41210290349615,-48.73701815096334
pcb_copper_centroid,ideal_half_lambda,-60.0,10.0,-21.528028519347536,-24.022070813861944,38.47197148065246,-34.022070813861944
pcb_copper_centroid,ideal_half_lambda,-40.0,10.0,-14.407168118890414,9.486678587691854,25.592831881109586,-0.5133214123081462
pcb_copper_centroid,ideal_half_lambda,-20.0,10.0,3.4616089704812323,-48.00761200929542,23.461608970481233,-58.00761200929542
pcb_copper_centroid,ideal_half_lambda,0.0,10.0,2.0316753780664927,1.1036744860428615e-16,2.0316753780664927,-10.0
pcb_copper_centroid,ideal_half_lambda,20.0,10.0,2.6136087861323976,48.00761200929577,-17.386391213867604,38.00761200929577
pcb_copper_centroid,ideal_half_lambda,40.0,10.0,18.705153241835824,-9.486678587688484,-21.294846758164176,-19.486678587688484
pcb_copper_centroid,ideal_half_lambda,60.0,10.0,-25.54853839273539,24.022070813860545,-85.5485383927354,14.022070813860545
pcb_copper_centroid,ideal_half_lambda,-60.0,20.0,37.82461280788181,-15.878556970371234,97.8246128078818,-35.878556970371235
pcb_copper_centroid,ideal_half_lambda,-40.0,20.0,-32.528604771153184,27.938995837367393,7.471395228846816,7.9389958373673934
pcb_copper_centroid,ideal_half_lambda,-20.0,20.0,6.2476603724494275,18.472977694145488,26.247660372449428,-1.527022305854512
pcb_copper_centroid,ideal_half_lambda,0.0,20.0,-4.554502235327771,-1.0642575401127595e-15,-4.554502235327771,-20.0
pcb_copper_centroid,ideal_half_lambda,20.0,20.0,-3.750026648507381,-18.472977694144408,-23.75002664850738,-38.472977694144404
pcb_copper_centroid,ideal_half_lambda,40.0,20.0,-18.73578225679909,-27.938995837372104,-58.73578225679909,-47.938995837372104
pcb_copper_centroid,ideal_half_lambda,60.0,20.0,3.0595916623207975,15.878556970372324,-56.9404083376792,-4.121443029627676
pcb_copper_centroid,pcb_copper_centroid,-60.0,-20.0,-0.004155415884134348,-0.02301586652224381,59.995844584115865,19.976984133477757
pcb_copper_centroid,pcb_copper_centroid,-40.0,-20.0,0.007720794834596049,-0.019107122901281824,40.0077207948346,19.980892877098718
pcb_copper_centroid,pcb_copper_centroid,-20.0,-20.0,0.004117765803431106,0.01291891320430875,20.004117765803432,20.01291891320431
pcb_copper_centroid,pcb_copper_centroid,0.0,-20.0,8.022184266786345e-19,-0.028251785130935493,8.022184266786345e-19,19.971748214869063
pcb_copper_centroid,pcb_copper_centroid,20.0,-20.0,-0.004117765700643317,0.0017340968860599332,-20.004117765700645,20.00173409688606
pcb_copper_centroid,pcb_copper_centroid,40.0,-20.0,0.004688043259822134,0.0018344462011244565,-39.99531195674018,20.001834446201123
pcb_copper_centroid,pcb_copper_centroid,60.0,-20.0,-0.008253422120489884,-0.001562015742182173,-60.00825342212049,19.99843798425782
pcb_copper_centroid,pcb_copper_centroid,-60.0,-10.0,0.0036436592696912394,-0.020243227958294162,60.00364365926969,9.979756772041705
pcb_copper_centroid,pcb_copper_centroid,-40.0,-10.0,-0.00381233606812622,0.020864186592762478,39.99618766393187,10.020864186592762
pcb_copper_centroid,pcb_copper_centroid,-20.0,-10.0,-0.005330608828929662,0.008650328237071339,19.99466939117107,10.00865032823707
pcb_copper_centroid,pcb_copper_centroid,0.0,-10.0,2.0415332513277295e-19,0.01261321304813292,2.0415332513277295e-19,10.012613213048134
pcb_copper_centroid,pcb_copper_centroid,20.0,-10.0,0.005330608991259618,0.01657609791953302,-19.994669391008742,10.016576097919533
pcb_copper_centroid,pcb_copper_centroid,40.0,-10.0,0.003812335826408978,0.004362239765069543,-39.99618766417359,10.004362239765069
pcb_copper_centroid,pcb_copper_centroid,60.0,-10.0,0.008765178873365195,0.013543967228810877,-59.99123482112663,10.013543967228811
pcb_copper_centroid,pcb_copper_centroid,-60.0,0.0,0.00036383002307183095,-0.01964061191516807,60.00036383002307,-0.01964061191516807
pcb_copper_centroid,pcb_copper_centroid,-40.0,0.0,0.008235531575708116,0.011184816280077428,40.00823553157571,0.011184816280077428
