ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
258,4661.5132mil,3126.0642mil, 2.70000000000000E+0002,0805_155,C129,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
259,4583.6348mil,3125.5416mil, 2.70000000000000E+0002,0805_155,C130,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
260,5293.3315mil,5004.543mil, 0.00000000000000E+0000,0402L,C131,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
261,4680.9061mil,3787.6648mil, 9.00000000000000E+0001,0805_155,C132,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
262,5158.9896mil,3453.3852mil, 1.80000000000000E+0002,0402L,C133,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
263,4610.8489mil,3787.8653mil, 9.00000000000000E+0001,0805_155,C134,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
264,5187.1222mil,5004.543mil, 1.80000000000000E+0002,0402L,C135,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
265,5129.8274mil,4764.4325mil, 0.00000000000000E+0000,0402L,C136,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
266,5105.5322mil,4525.5859mil, 2.70000000000000E+0002,0603L,C137,"CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007134-5,False,inventory_only
267,5486.0991mil,4431.7384mil, 9.00000000000000E+0001,0402L,C138,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
268,5464.8527mil,4348.1494mil, 1.80000000000000E+0002,0402L,C139,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
269,5530.1273mil,4296.7637mil, 1.80000000000000E+0002,0402L,C140,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
270,5587.3961mil,4301.5735mil, 2.70000000000000E+0002,0402L,C141,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
271,5635.6239mil,4304.0393mil, 2.70000000000000E+0002,0402L,C142,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
272,4876.0657mil,3764.0572mil, 2.70000000000000E+0002,FP-GCJ188C70J475KE02J_0603-MFG,C144,Cap Ceramic Multilayer 4.7uF 6.3V DC 10% SMD Paper T/R,Vault,CMP-0091520-1,False,inventory_only
273,3746.114mil,6752.0134mil, 9.00000000000000E+0001,0603L,C145,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
274,5290.1506mil,4282.891mil, 0.00000000000000E+0000,0603L,C146,"CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007134-5,False,inventory_only
275,4603.8135mil,5361.0879mil, 9.00000000000000E+0001,0603L,C147,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
276,4623.4985mil,5292.8558mil, 0.00000000000000E+0000,0402L,C148,"CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006350-2,False,inventory_only
277,3803.7888mil,6581.8788mil, 2.70000000000000E+0002,0603L,C149,"CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007134-5,False,inventory_only
278,5246.4014mil,4555.8046mil, 0.00000000000000E+0000,0402L,C150,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
279,4369.9865mil,3901.7063mil, 9.00000000000000E+0001,0805_155,C151,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
280,4254.7794mil,3795.8609mil, 1.80000000000000E+0002,0805L,C152,"CAP, CERM, 10 �F, 10 V,+/- 5%, X7R, AEC-Q200 Grade 1, 0805",Vault,CMP-0081061-1,False,inventory_only
281,4623.942mil,5258.9386mil, 0.00000000000000E+0000,0402L,C154,"CAP, CERM, 0.01 uF, 50 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006324-2,False,inventory_only
282,4829.0331mil,5694.7921mil, 2.70000000000000E+0002,0402L,C155,"CAP, CERM, 47 pF, 50 V, +/- 1%, C0G/NP0, 0402",Vault,CMP-0006467-2,False,inventory_only
283,4451.0871mil,5637.7257mil, 0.00000000000000E+0000,0805_HV,C157,"CAP, CERM, 0.1 uF, 100 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0805",Vault,CMP-0007969-2,False,inventory_only
