ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
597,4770.3905mil,4612.2105mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R290,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
598,4208.0923mil,4926.958mil, 2.70000000000000E+0002,0603L,R293,"RES, 48.7 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0603",Vault,CMP-0022443-4,False,inventory_only
599,4265.504mil,4926.9581mil, 9.00000000000000E+0001,0603L,R294,"RES, 45.3 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0603",Vault,CMP-0022430-4,False,inventory_only
600,4256.6581mil,5041.2179mil, 9.00000000000000E+0001,0402L,R295,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
601,5835.1933mil,3315.9186mil, 2.70000000000000E+0002,0402L,R296,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
602,4789.0069mil,2268.8491mil, 1.80000000000000E+0002,0402L,R297,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
603,4789.0068mil,2120.8016mil, 0.00000000000000E+0000,0402L,R298,"RES, 750, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026542-2,False,inventory_only
604,4789.0069mil,2232.6286mil, 1.80000000000000E+0002,0402L,R299,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
605,4789.0068mil,2157.3024mil, 0.00000000000000E+0000,0402L,R300,"RES, 7.87 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026557-2,False,inventory_only
606,5945.4359mil,4157.6811mil, 0.00000000000000E+0000,0402L,R301,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
607,4789.0069mil,2193.2585mil, 1.80000000000000E+0002,0402L,R302,"RES, 82.5 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026574-2,False,inventory_only
608,5945.4359mil,4198.6811mil, 1.80000000000000E+0002,0402L,R303,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
609,5020.2537mil,2112.5996mil, 0.00000000000000E+0000,0402L,R304,"RES, 750, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026542-2,False,inventory_only
610,5020.2537mil,2222.1778mil, 1.80000000000000E+0002,0402L,R305,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
611,5020.2537mil,2150.5443mil, 0.00000000000000E+0000,0402L,R306,"RES, 7.87 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026557-2,False,inventory_only
612,5020.2537mil,2187.9258mil, 1.80000000000000E+0002,0402L,R307,"RES, 82.5 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026574-2,False,inventory_only
613,5244.6962mil,2118.29mil, 0.00000000000000E+0000,0402L,R308,"RES, 750, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026542-2,False,inventory_only
614,5902.2293mil,3990.7856mil, 0.00000000000000E+0000,0402L,R309,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
615,5244.6963mil,2226.8984mil, 1.80000000000000E+0002,0402L,R310,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
616,5244.6962mil,2155.2712mil, 0.00000000000000E+0000,0402L,R311,"RES, 7.87 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026557-2,False,inventory_only
617,5902.2293mil,4031.7856mil, 1.80000000000000E+0002,0402L,R312,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
618,5244.6963mil,2191.3812mil, 1.80000000000000E+0002,0402L,R313,"RES, 82.5 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026574-2,False,inventory_only
619,4243.019mil,3134.7179mil, 2.70000000000000E+0002,0402L,R315,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
620,5129.8275mil,4807.2548mil, 1.80000000000000E+0002,0402L,R316,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
621,5158.9885mil,3421.2529mil, 0.00000000000000E+0000,0201L,R317,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
622,5159.4293mil,3507.4059mil, 1.80000000000000E+0002,0201L,R319,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
623,4086.8886mil,3196.8629mil, 1.80000000000000E+0002,0201L,R320,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
624,3582.1169mil,3536.9021mil, 0.00000000000000E+0000,0201L,R321,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
625,5210.7831mil,4208.0353mil, 1.80000000000000E+0002,0201L,R324,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
626,4770.6972mil,4655.0016mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R325,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
627,5189.3911mil,4017.9879mil, 9.00000000000000E+0001,0402L,R326,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
628,3600.0302mil,2861.0709mil, 0.00000000000000E+0000,0201L,R328,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
629,3600.0284mil,2822.8474mil, 0.00000000000000E+0000,0201L,R329,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
630,4817.8042mil,6174.3757mil, 0.00000000000000E+0000,0402L,R330,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
631,5485.0133mil,2384.4184mil, 9.00000000000000E+0001,0402L,R331,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
632,4420.4264mil,2847.995mil, 2.70000000000000E+0002,0402L,R332,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
633,3416.5047mil,3829.315mil, 0.00000000000000E+0000,0402L,R333,"RES, 100, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026993-2,False,inventory_only
634,3553.6157mil,3889.6362mil, 9.00000000000000E+0001,0201L,R334,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
635,3517.056mil,3893.9448mil, 2.70000000000000E+0002,0402L,R335,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
636,4769.9728mil,4698.3135mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R336,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
637,4262.7041mil,4441.0777mil, 1.80000000000000E+0002,0402L,R337,"RES, 11.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025975-3,False,inventory_only
638,4771.4148mil,4741.0763mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R338,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
639,4771.6793mil,4783.2786mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R339,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
640,4425.3913mil,4977.7181mil, 9.00000000000000E+0001,0402L,R340,"RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026890-5,False,inventory_only
641,4480.8693mil,4977.7181mil, 9.00000000000000E+0001,0402L,R342,"RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026890-5,False,inventory_only
642,4542.3701mil,4214.5762mil, 1.80000000000000E+0002,0201L,R343,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
643,4421.3214mil,4345.3595mil, 9.00000000000000E+0001,0201L,R344,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
644,6268.8934mil,3878.2324mil, 1.80000000000000E+0002,1206L,R346,"RES, 0.001, 1%, 1 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0017253-2,False,inventory_only
645,6400.16mil,4064.983mil, 2.70000000000000E+0002,0402L,R347,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
646,6243.0251mil,3982.5505mil, 9.00000000000000E+0001,0402L,R348,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
647,6292.6218mil,3982.6764mil, 9.00000000000000E+0001,0402L,R352,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
648,5878.1832mil,3504.1154mil, 1.80000000000000E+0002,0402L,R353,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
649,5778.5501mil,3580.1794mil, 2.70000000000000E+0002,0402L,R354,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
650,5737.3411mil,3580.1794mil, 2.70000000000000E+0002,0402L,R355,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
651,5696.5501mil,3580.1794mil, 2.70000000000000E+0002,0402L,R356,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
652,5696.5501mil,3313.1338mil, 9.00000000000000E+0001,0402L,R357,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
653,5655.5501mil,3313.1338mil, 9.00000000000000E+0001,0402L,R358,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
654,5778.5501mil,3313.1338mil, 9.00000000000000E+0001,0402L,R359,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
655,5737.3411mil,3313.1338mil, 9.00000000000000E+0001,0402L,R360,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
656,4924.5292mil,6174.3757mil, 0.00000000000000E+0000,0402L,R362,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
657,4469.7052mil,4342.3629mil, 9.00000000000000E+0001,FP-ERJ-1GNF33R2C_0201-MFG,R369,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
658,4384.5894mil,4345.3595mil, 9.00000000000000E+0001,0201L,R370,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
659,5944.8292mil,4242.7212mil, 0.00000000000000E+0000,0201L,R371,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
660,4076.7777mil,3381.7538mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R374,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
661,3630.3305mil,3368.2233mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R375,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
662,3630.3305mil,3410.2916mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R376,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
663,5243.849mil,3085.7201mil, 9.00000000000000E+0001,FP-ERJ-1GNF33R2C_0201-MFG,R377,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
664,5935.8292mil,4329.8782mil, 0.00000000000000E+0000,0201L,R379,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
665,5258.4305mil,4241.1712mil, 0.00000000000000E+0000,0402L,R380,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
666,5229.5982mil,4348.1494mil, 0.00000000000000E+0000,0402L,R381,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
667,5948.7662mil,4242.7212mil, 1.80000000000000E+0002,0402L,R386,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
668,5434.0647mil,3216.7502mil, 0.00000000000000E+0000,0402L,R387,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
669,5434.6375mil,3268.3151mil, 0.00000000000000E+0000,0402L,R388,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
670,5435.2281mil,3319.0779mil, 0.00000000000000E+0000,0402L,R389,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
671,3601.2939mil,2754.6212mil, 0.00000000000000E+0000,0201L,R390,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
672,3600.0084mil,2713.1365mil, 0.00000000000000E+0000,0201L,R391,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
673,5215.3225mil,4160.3542mil, 0.00000000000000E+0000,0402L,R392,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
674,5155.097mil,3085.7201mil, 2.70000000000000E+0002,0201L,R399,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
675,4128.1923mil,4350.1214mil, 0.00000000000000E+0000,0402L,R400,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
676,3698.3023mil,4144.3796mil, 1.80000000000000E+0002,0402L,R401,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
677,3699.028mil,6740.2024mil, 9.00000000000000E+0001,0402L,R409,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
678,4509.1634mil,4342.3629mil, 9.00000000000000E+0001,FP-ERJ-1GNF33R2C_0201-MFG,R413,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
679,4402.7644mil,4271.4549mil, 1.80000000000000E+0002,FP-CRCW06031M00FKEAC_0603-MFG,R414,Res Thick Film 0603 1M Ohm 1% 1/10W �100ppm/�C Molded SMD Paper T/R,Vault,CMP-0089574-2,False,inventory_only
680,4369.8732mil,6643.1463mil, 1.80000000000000E+0002,0402L,R416,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
681,4369.8732mil,6694.8798mil, 0.00000000000000E+0000,0402L,R417,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
682,3605.6842mil,3141.7449mil, 1.80000000000000E+0002,0402L,R418,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
683,3741.533mil,5031.3718mil, 9.00000000000000E+0001,0402L,R419,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
684,3603.5736mil,3104.2184mil, 0.00000000000000E+0000,0201L,R422,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
685,3603.5736mil,3072.7224mil, 0.00000000000000E+0000,0201L,R423,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
686,4084.9201mil,3078.1864mil, 0.00000000000000E+0000,0201L,R424,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
687,4084.9201mil,3039.3826mil, 0.00000000000000E+0000,0201L,R425,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
688,3629.5578mil,3319.5415mil, 0.00000000000000E+0000,0201L,R503,"RES, 100, 1%, 0.05 W, 0201",Vault,CMP-0083836-1,False,inventory_only
689,3582.1169mil,3489.8009mil, 0.00000000000000E+0000,0201_033L,R508,"RES, 4.70 k, 1%, 0.05 W, 0201",Vault,CMP-0027280-3,False,inventory_only
690,4077.9588mil,3464.1148mil, 0.00000000000000E+0000,0201_033L,R512,"RES, 4.70 k, 1%, 0.05 W, 0201",Vault,CMP-0027280-3,False,inventory_only
691,6013.9513mil,3454.5306mil, 9.00000000000000E+0001,SW_CJS_1201A,S1,"Slide SW, SPDT 0.1A 50VDC",Vault,CMP-0002159-2,False,inventory_only
692,5189.7151mil,3178.8511mil, 2.70000000000000E+0002,SW_CJS_1201A,S2,"Slide SW, SPDT 0.1A 50VDC",Vault,CMP-0002159-2,False,inventory_only
693,3434.1413mil,3569.1873mil, 2.70000000000000E+0002,SW_KMR243GLFG,SW1,"Switch, SPST-NO, Off-Mom, 0.01 A, 32 VDC, SMD",Vault,CMP-0002325-1,False,inventory_only
694,3428.316mil,3954.9686mil, 2.70000000000000E+0002,SW_KMR243GLFG,SW2,"Switch, SPST-NO, Off-Mom, 0.01 A, 32 VDC, SMD",Vault,CMP-0002325-1,False,inventory_only
695,3426.3184mil,2557.2642mil, 2.70000000000000E+0002,SW_KMR243GLFG,SW3,"Switch, SPST-NO, Off-Mom, 0.01 A, 32 VDC, SMD",Vault,CMP-0002325-1,False,inventory_only
696,4925.9071mil,6094.8261mil, 0.00000000000000E+0000,TP_25MIL-SMT,TP1,TEST POINT.  No entry in BOM.,Altium Vault - TI,CMP-0078143-3,False,inventory_only
697,3559.1618mil,3638.7539mil, 1.80000000000000E+0002,TP_25MIL-SMT,TP4,TEST POINT.  No entry in BOM.,Altium Vault - TI,CMP-0078143-3,False,inventory_only
698,4605.1009mil,4236.2823mil, 9.00000000000000E+0001,TP_25MIL-SMT,TP5,TEST POINT.  No entry in BOM.,Altium Vault - TI,CMP-0078143-3,False,inventory_only
699,4123.7028mil,4289.5076mil, 9.00000000000000E+0001,TP_25MIL-SMT,TP6,TEST POINT.  No entry in BOM.,Altium Vault - TI,CMP-0078143-3,False,inventory_only
700,4055.4916mil,6659.6953mil, 9.00000000000000E+0001,Keystone5001,TP7,"Test Point, Miniature, Black, TH",Vault,CMP-0055138-1,False,inventory_only
701,6550.8226mil,3885.6805mil, 9.00000000000000E+0001,Keystone5001,TP9,"Test Point, Miniature, Black, TH",Vault,CMP-0055138-1,False,inventory_only
702,4922.7854mil,4300.4324mil, 2.70000000000000E+0002,FP-GD25B64CWAG_WSON8-IPC_C,U1,3.3V Uniform Sector Dual and Quad Serial Flash SPI 64Mbit 2.7-3.6V WSON8,Vault,CMP-0091081-1,False,inventory_only
703,5257.2744mil,2442.8206mil, 0.00000000000000E+0000,DRR0012E-MFG,U2,"3.5-V to 36-V, 1.5-A, and 2.5-A Automotive Step-down Voltage Converter",Vault,CMP-0088353-1,False,inventory_only
704,4463.5945mil,2595.7745mil, 2.70000000000000E+0002,D0008A_L,U3,"Automotive Fault Protected CAN Transceiver With Flexible Data-Rate, D0008A (SOIC-8)",Vault,CMP-0075992-1,False,inventory_only
705,4713.8737mil,5169.7549mil, 0.00000000000000E+0000,RHA0036A-MFG,U4,TC-10 Compliant 100Base-T1 Automotive Ethernet PHY,Vault,CMP-0089064-1,False,inventory_only
706,4143.9752mil,2467.0457mil, 2.70000000000000E+0002,DYY0014A-MFG,U5,Low-Power Fault Protected CAN FD Transceiver with INH and WAKE,Vault,CMP-0089855-1,False,inventory_only
707,5849.156mil,3429.3486mil, 9.00000000000000E+0001,PDT0128A,U6,"Tiva C Series Microcontroller, 1024 KB Flash, 256 KB SRAM, 12 Bit, 20 Channels, -40 to 105 degC, 128-Pin TQFP (PDT), Green (RoHS & no Sb/Br), Tray",Vault,CMP-0029856-2,False,inventory_only
708,5912.1446mil,3015.6959mil, 0.00000000000000E+0000,DBZ0003A_N,U7,"Precision Micropower Shunt Voltage Reference, 0.5% accuracy, 2.5 V, 15 ppm / degC, 15 mA, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)",Vault,CMP-0033001-1,False,inventory_only
709,4264.4083mil,2779.1082mil, 9.00000000000000E+0001,DGS0010A_L,U9,"High-Side Measurement, Bi-Directional Current / Power Monitor with I2C Interface, 2.7 to 5.5 V, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)",Vault,CMP-0037979-1,False,inventory_only
710,6413.486mil,3527.3727mil, 1.80000000000000E+0002,DRY0006A,U10,"4-Channel ESD Protection Array for High-Speed Data Interfaces, DRY0006A (USON-6)",Vault,CMP-0043115-3,False,inventory_only
711,4783.0318mil,4010.0379mil, 0.00000000000000E+0000,DGS0010A_L,U11,"High-Side Measurement, Bi-Directional Current / Power Monitor with I2C Interface, 2.7 to 5.5 V, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)",Vault,CMP-0037979-1,False,inventory_only
712,6240.0168mil,4208.2515mil, 2.70000000000000E+0002,DGS0010A_L,U12,"High-Side Measurement, Bi-Directional Current / Power Monitor with I2C Interface, 2.7 to 5.5 V, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)",Vault,CMP-0037979-1,False,inventory_only
713,4079.7401mil,4690.2967mil, 0.00000000000000E+0000,DQA0010A,U13,"4-Channel Ultra-Low-Capacitance IEC ESD Protection Diode, DQA0010A (USON-10)",Vault,CMP-0073613-3,False,inventory_only
714,4079.74mil,4484.2233mil, 0.00000000000000E+0000,DQA0010A,U14,"4-Channel Ultra-Low-Capacitance IEC ESD Protection Diode, DQA0010A (USON-10)",Vault,CMP-0073613-3,False,inventory_only
715,4513.5975mil,4587.7312mil, 0.00000000000000E+0000,RGZ0048B,U15,"Extended Temperature Gigabit Ethernet PHY with SGMII, RGZ0048B (VQFN-48)",Vault,CMP-0076013-2,False,inventory_only
716,4118.2487mil,5050.5358mil, 9.00000000000000E+0001,DRV0006A,U16,"Single Output High PSRR LDO, 500 mA, Adjustable 1.25 to 6 V Output, 2.7 to 6.5 V Input, with Low IQ, 6-pin SON (DRV), -40 to 125 degC, Green (RoHS & no Sb/Br)",Vault,CMP-0036314-5,False,inventory_only
717,4621.6093mil,4040.8504mil, 2.70000000000000E+0002,DRV0006A,U17,"Capacitor-Free, 300-mA, Low-Dropout Regulator for Automotive, DRV0006A (WSON-6)",Vault,CMP-0078869-1,False,inventory_only
718,4451.3417mil,6331.8761mil, 0.00000000000000E+0000,LQFP64_N,U18,Quad High Speed USB to Multipurpose UART/MPSSE IC,Vault,CMP-0004747-1,False,inventory_only
719,4983.5643mil,6533.9969mil, 0.00000000000000E+0000,DRB0008B,U20,"Single Output High PSRR LDO, 1 A, Adjustable 1.2 to 5.5 V Output, 2.7 to 5.5 V Input, 8-pin SON (DRB), -40 to 125 degC, Green (RoHS & no Sb/Br)",Vault,CMP-0036402-3,False,inventory_only
720,3615.4703mil,6403.3485mil, 0.00000000000000E+0000,DRY0006A,U21,"4-Channel ESD Protection Array for High-Speed Data Interfaces, DRY0006A (USON-6)",Vault,CMP-0043115-3,False,inventory_only
721,4195.5348mil,3378.228mil, 9.00000000000000E+0001,DGS0010A_L,U22,"High-Side Measurement, Bi-Directional Current / Power Monitor with I2C Interface, 2.7 to 5.5 V, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)",Vault,CMP-0037979-1,False,inventory_only
722,5745.2152mil,3446.6566mil, 2.70000000000000E+0002,RSV0016A,U23,"10-Ohm Quad SPDT Analog Switch, RSV0016A (UQFN-16)",Vault,CMP-0067415-1,False,inventory_only
723,5253.5881mil,3466.0358mil, 1.80000000000000E+0002,DRL0006A,U24,"1.4V-Capable +/-0.5degC Temperature Sensor with Alert Function and I2C/SMBus interface in SOT-563, DRL0006A (SOT-OTHER-6)",Vault,CMP-0067397-2,False,inventory_only
724,5191.6836mil,3186.7251mil, 9.00000000000000E+0001,RSV0016A,U26,"10-Ohm Quad SPDT Analog Switch, RSV0016A (UQFN-16)",Vault,CMP-0067415-1,False,inventory_only
725,3699.028mil,6610.5941mil, 2.70000000000000E+0002,DBV0005A-MFG,U27,Linear Voltage Regulator IC Positive Fixed Output 300mA SOT-23-5,Vault,CMP-0092338-1,False,inventory_only
726,4418.4952mil,6458.0384mil, 9.00000000000000E+0001,SOIC-8,U28,"2-Kb, 4-Kb, 8-Kb and 16-Kb I2C CMOS Serial EEPROM, SOIC-8",Vault,CMP-0005318-2,False,inventory_only
727,5586.5365mil,4399.3306mil, 2.70000000000000E+0002,0-MFG,U29,XA2944BGALT,Vault,CMP-0091573-4,False,inventory_only
728,4026.4577mil,6097.6241mil, 0.00000000000000E+0000,NDK_NX3225SA,Y1,"Crystal, 12 MHz, 15 ppm, 8 pF, AEC-Q200 Grade 1, SMD",Vault,CMP-0081529-1,False,inventory_only
729,6045.3178mil,3924.3621mil, 2.70000000000000E+0002,NDK_NX3225SA,Y2,"Crystal, 16 MHz, 15 ppm, 8 pF, AEC-Q200 Grade 1, SMD",Vault,CMP-0078214-2,False,inventory_only
730,5881.3998mil,4795.9077mil, 0.00000000000000E+0000,FP-FW4000044Q_4-SMD-2.0x1.6mm-MFG,Y3,"40MHz �10ppm Crystal 8pF 50 Ohms 4-SMD, No Lead",Vault,CMP-0090505-1,False,inventory_only
731,4398.8386mil,4116.0923mil, 0.00000000000000E+0000,XTAL_ABM3,Y4,"Crystal, 25 MHz, 18 pF, SMD",Vault,CMP-0004620-3,False,inventory_only
