actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
cfg_candidate,cfg_candidate,40.0,-20.0,40.0,-20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,60.0,-20.0,60.0,-20.0,0.9999999999999998,0.0,0.0
cfg_candidate,cfg_candidate,-60.0,-10.0,-60.0,-10.0,1.0000000000000004,0.0,0.0
cfg_candidate,cfg_candidate,-40.0,-10.0,-40.0,-10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-20.0,-10.0,-20.0,-10.0,0.9999999999999996,0.0,0.0
cfg_candidate,cfg_candidate,0.0,-10.0,0.0,-10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,20.0,-10.0,20.0,-10.0,1.0000000000000004,0.0,0.0
cfg_candidate,cfg_candidate,40.0,-10.0,40.0,-10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,60.0,-10.0,60.0,-10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-60.0,0.0,-60.0,0.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-40.0,0.0,-40.0,0.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-20.0,0.0,-20.0,0.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,20.0,0.0,20.0,0.0,0.9999999999999998,0.0,0.0
cfg_candidate,cfg_candidate,40.0,0.0,40.0,0.0,1.0000000000000004,0.0,0.0
cfg_candidate,cfg_candidate,60.0,0.0,60.0,0.0,1.0000000000000004,0.0,0.0
cfg_candidate,cfg_candidate,-60.0,10.0,-60.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-40.0,10.0,-40.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-20.0,10.0,-20.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,0.0,10.0,0.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,20.0,10.0,20.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,40.0,10.0,40.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,60.0,10.0,60.0,10.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-60.0,20.0,-60.0,20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-40.0,20.0,-40.0,20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-20.0,20.0,-20.0,20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,0.0,20.0,0.0,20.0,1.0000000000000004,0.0,0.0
cfg_candidate,cfg_candidate,20.0,20.0,20.0,20.0,0.9999999999999996,0.0,0.0
cfg_candidate,cfg_candidate,40.0,20.0,40.0,20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,60.0,20.0,60.0,20.0,1.0,0.0,0.0
cfg_candidate,pcb_centroid_candidate,-60.0,-20.0,40.0,-19.0,0.9997489881875493,100.0,1.0
cfg_candidate,pcb_centroid_candidate,-40.0,-20.0,-3.0,18.0,0.9712139694305765,37.0,38.0
cfg_candidate,pcb_centroid_candidate,-20.0,-20.0,54.0,-7.0,0.9541518101329786,74.0,13.0
cfg_candidate,pcb_centroid_candidate,0.0,-20.0,0.0,-14.0,0.9634663789248678,0.0,6.0
cfg_candidate,pcb_centroid_candidate,20.0,-20.0,33.0,-4.0,0.971865652564908,13.0,16.0
cfg_candidate,pcb_centroid_candidate,40.0,-20.0,-59.0,5.0,0.9757217086440321,-99.0,25.0
cfg_candidate,pcb_centroid_candidate,60.0,-20.0,13.0,18.0,0.9949122248471397,-47.0,38.0
cfg_candidate,pcb_centroid_candidate,-60.0,-10.0,-3.0,-17.0,0.9640678814528265,57.0,-7.0
cfg_candidate,pcb_centroid_candidate,-40.0,-10.0,29.0,19.0,0.9597194108114486,69.0,29.0
cfg_candidate,pcb_centroid_candidate,-20.0,-10.0,-23.0,-15.0,0.9764749905556003,-3.0,-5.0
cfg_candidate,pcb_centroid_candidate,0.0,-10.0,0.0,3.0,0.9999586565617666,0.0,13.0
cfg_candidate,pcb_centroid_candidate,20.0,-10.0,-39.0,7.0,0.9613617555962207,-59.0,17.0
cfg_candidate,pcb_centroid_candidate,40.0,-10.0,-3.0,-15.0,0.976545873260103,-43.0,-5.0
cfg_candidate,pcb_centroid_candidate,60.0,-10.0,-36.0,-12.0,0.9964239943122387,-96.0,-2.0
cfg_candidate,pcb_centroid_candidate,-60.0,0.0,36.0,-12.0,0.986513712128517,96.0,-12.0
cfg_candidate,pcb_centroid_candidate,-40.0,0.0,54.0,13.0,0.9910361769499053,94.0,13.0
