model,azimuth_deg,elevation_deg,power_linear
ideal_v04,-52.0,-14.0,0.03229818339814317
ideal_v04,-52.0,-13.0,0.036002898252029326
ideal_v04,-52.0,-12.0,0.03968724798503667
ideal_v04,-52.0,-11.0,0.043299938687938785
ideal_v04,-52.0,-10.0,0.04679059874295313
ideal_v04,-52.0,-9.0,0.05011068824704205
ideal_v04,-52.0,-8.0,0.05321430230801545
ideal_v04,-52.0,-7.0,0.056058862224795634
ideal_v04,-52.0,-6.0,0.05860569464657844
ideal_v04,-52.0,-5.0,0.0608205038257529
ideal_v04,-52.0,-4.0,0.06267374584400152
ideal_v04,-52.0,-3.0,0.06414091610197543
ideal_v04,-52.0,-2.0,0.06520276241163886
ideal_v04,-52.0,-1.0,0.06584543578865927
ideal_v04,-52.0,0.0,0.06606058965117724
ideal_v04,-52.0,1.0,0.06584543578865927
ideal_v04,-52.0,2.0,0.0652027624116388
ideal_v04,-52.0,3.0,0.06414091610197543
ideal_v04,-52.0,4.0,0.06267374584400155
ideal_v04,-52.0,5.0,0.06082050382575287
ideal_v04,-52.0,6.0,0.058605694646578416
ideal_v04,-52.0,7.0,0.05605886222479561
ideal_v04,-52.0,8.0,0.05321430230801545
ideal_v04,-52.0,9.0,0.05011068824704208
ideal_v04,-52.0,10.0,0.04679059874295317
ideal_v04,-52.0,11.0,0.043299938687938785
ideal_v04,-52.0,12.0,0.0396872479850366
ideal_v04,-52.0,13.0,0.036002898252029326
ideal_v04,-52.0,14.0,0.03229818339814313
ideal_v04,-52.0,15.0,0.02862431692243427
ideal_v04,-52.0,16.0,0.025031356046003043
ideal_v04,-52.0,17.0,0.021567080008944063
ideal_v04,-52.0,18.0,0.018275856537336054
ideal_v04,-52.0,19.0,0.015197536091759712
ideal_v04,-52.0,20.0,0.012366417533333044
ideal_v04,-51.0,-20.0,0.012395351247378446
ideal_v04,-51.0,-19.0,0.015285908472931323
ideal_v04,-51.0,-18.0,0.01844322825447113
ideal_v04,-51.0,-17.0,0.021833803825479624
ideal_v04,-51.0,-16.0,0.025417816046407922
ideal_v04,-51.0,-15.0,0.0291501317849924
ideal_v04,-51.0,-14.0,0.03298140766749296
ideal_v04,-51.0,-13.0,0.036859255200098445
ideal_v04,-51.0,-12.0,0.04072942578059035
ideal_v04,-51.0,-11.0,0.04453697840899196
ideal_v04,-51.0,-10.0,0.04822739849955835
ideal_v04,-51.0,-9.0,0.05174764260181541
ideal_v04,-51.0,-8.0,0.05504709056646166
ideal_v04,-51.0,-7.0,0.05807839328857866
ideal_v04,-51.0,-6.0,0.06079821023070127
ideal_v04,-51.0,-5.0,0.06316783615382163
ideal_v04,-51.0,-4.0,0.065153720635118
ideal_v04,-51.0,-3.0,0.06672788688921354
ideal_v04,-51.0,-2.0,0.06786825808820793
ideal_v04,-51.0,-1.0,0.06855889983290864
ideal_v04,-51.0,0.0,0.06879018677774398
ideal_v04,-51.0,1.0,0.06855889983290861
ideal_v04,-51.0,2.0,0.06786825808820789
ideal_v04,-51.0,3.0,0.06672788688921354
ideal_v04,-51.0,4.0,0.06515372063511791
ideal_v04,-51.0,5.0,0.06316783615382163
ideal_v04,-51.0,6.0,0.06079821023070124
ideal_v04,-51.0,7.0,0.05807839328857863
ideal_v04,-51.0,8.0,0.05504709056646165
ideal_v04,-51.0,9.0,0.051747642601815344
ideal_v04,-51.0,10.0,0.048227398499558365
ideal_v04,-51.0,11.0,0.04453697840899195
ideal_v04,-51.0,12.0,0.04072942578059035
ideal_v04,-51.0,13.0,0.036859255200098424
ideal_v04,-51.0,14.0,0.03298140766749297
ideal_v04,-51.0,15.0,0.029150131784992372
ideal_v04,-51.0,16.0,0.025417816046407905
ideal_v04,-51.0,17.0,0.02183380382547964
ideal_v04,-51.0,18.0,0.018443228254471155
ideal_v04,-51.0,19.0,0.015285908472931323
ideal_v04,-51.0,20.0,0.012395351247378434
ideal_v04,-50.0,-20.0,0.0123259726841202
ideal_v04,-50.0,-19.0,0.015253459621738717
ideal_v04,-50.0,-18.0,0.01846549100772608
ideal_v04,-50.0,-17.0,0.02192970162216593
ideal_v04,-50.0,-16.0,0.025606692050152185
ideal_v04,-50.0,-15.0,0.0294509764773147
ideal_v04,-50.0,-14.0,0.033412069746884654
ideal_v04,-50.0,-13.0,0.03743567011367167
ideal_v04,-50.0,-12.0,0.04146489505361818
ideal_v04,-50.0,-11.0,0.04544153032282419
ideal_v04,-50.0,-10.0,0.049307256805955435
ideal_v04,-50.0,-9.0,0.05300482510062758
ideal_v04,-50.0,-8.0,0.05647915378692723
ideal_v04,-50.0,-7.0,0.05967833348179423
ideal_v04,-50.0,-6.0,0.06255452467229014
ideal_v04,-50.0,-5.0,0.06506474262024027
