actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak
pcb_copper_centroid,rf_endpoint_candidate,20.0,0.0,-32.0,40.0,-52.0,40.0,0.9717624344197893
pcb_copper_centroid,rf_endpoint_candidate,40.0,0.0,-30.0,20.0,-70.0,20.0,0.9536675287946371
pcb_copper_centroid,rf_endpoint_candidate,60.0,0.0,-32.0,-34.0,-92.0,-34.0,0.9120115973222951
pcb_copper_centroid,rf_endpoint_candidate,-60.0,10.0,52.0,-34.0,112.0,-44.0,0.9588381895395041
pcb_copper_centroid,rf_endpoint_candidate,-40.0,10.0,-10.0,40.0,30.0,30.0,0.9314692461546012
pcb_copper_centroid,rf_endpoint_candidate,-20.0,10.0,-74.0,-40.0,-54.0,-50.0,0.9562038218344778
pcb_copper_centroid,rf_endpoint_candidate,0.0,10.0,-54.0,20.0,-54.0,10.0,0.9826733608236587
pcb_copper_centroid,rf_endpoint_candidate,20.0,10.0,4.0,-18.0,-16.0,-28.0,0.9660498835307613
pcb_copper_centroid,rf_endpoint_candidate,40.0,10.0,76.0,-20.0,36.0,-30.0,0.9446551536597099
pcb_copper_centroid,rf_endpoint_candidate,60.0,10.0,-18.0,-38.0,-78.0,-48.0,0.9325749337990522
pcb_copper_centroid,rf_endpoint_candidate,-60.0,20.0,22.0,-36.0,82.0,-56.0,0.9590581068296474
pcb_copper_centroid,rf_endpoint_candidate,-40.0,20.0,-40.0,20.0,0.0,0.0,0.9915699563619496
pcb_copper_centroid,rf_endpoint_candidate,-20.0,20.0,74.0,-18.0,94.0,-38.0,0.9711717266075846
pcb_copper_centroid,rf_endpoint_candidate,0.0,20.0,46.0,-30.0,46.0,-50.0,0.9623299297811005
pcb_copper_centroid,rf_endpoint_candidate,20.0,20.0,22.0,12.0,2.0,-8.0,0.9647841033257446
pcb_copper_centroid,rf_endpoint_candidate,40.0,20.0,54.0,-10.0,14.0,-30.0,0.9149132732168517
