case_id,frame,time_s,x_m,y_m,z_m,slant_range_m,azimuth_deg,elevation_deg,mask_3db,mask_6db
ss0_flat,20,10.0,40.0,3.0,0.0,40.12480529547776,85.71084667118099,1.428086989821952,0,0
ss0_flat,20,10.0,41.0,3.0,0.0,41.12177038990418,85.8150838748816,1.3934572272287051,0,0
ss0_flat,20,10.0,42.0,3.0,0.0,42.118879377305376,85.91438322002513,1.36046268666632,0,0
ss0_flat,20,10.0,43.0,3.0,0.0,43.1161222746202,86.00908690157023,1.3289905150582026,0,0
ss0_flat,20,10.0,44.0,3.0,0.0,44.11349000022555,86.09950625761812,1.2989379844801203,0,0
ss0_flat,20,10.0,45.0,3.0,0.0,45.110974274559844,86.18592516570965,1.2702113842926899,0,0
ss0_flat,20,10.0,46.0,3.0,0.0,46.10856753359401,86.26860300083955,1.242725055278087,0,0
ss0_flat,20,10.0,47.0,3.0,0.0,47.10626285325551,86.34777721969367,1.2164005450390472,0,0
ss0_flat,20,10.0,48.0,3.0,0.0,48.104053883222775,86.42366562500266,1.1911658673020116,0,0
ss0_flat,20,10.0,49.0,3.0,0.0,49.10193478876367,86.49646835521554,1.166954850542876,0,0
ss0_flat,20,10.0,50.0,3.0,0.0,50.0999001995014,86.56636963754949,1.1437065636415746,0,0
ss0_flat,20,10.0,-50.0,4.0,0.0,50.16971197844373,-85.42607874009914,1.1421148707438078,0,0
ss0_flat,20,10.0,-49.0,4.0,0.0,49.17316341257699,-85.33314162856101,1.165264252406256,0,0
ss0_flat,20,10.0,-48.0,4.0,0.0,48.176757881783615,-85.23635830927383,1.189368009243936,0,0
ss0_flat,20,10.0,-47.0,4.0,0.0,47.18050444834179,-85.13548556223948,1.2144861726506213,0,0
ss0_flat,20,10.0,-46.0,4.0,0.0,46.184412955021955,-85.0302592718897,1.2406838957971629,0,0
ss0_flat,20,10.0,-45.0,4.0,0.0,45.18849411078001,-84.92039213998542,1.268032009353048,0,0
ss0_flat,20,10.0,-44.0,4.0,0.0,44.19275958796871,-84.8055710922652,1.2966076508250892,0,0
ss0_flat,20,10.0,-43.0,4.0,0.0,43.197222132910355,-84.68545433005525,1.3264949790888478,0,0
ss0_flat,20,10.0,-42.0,4.0,0.0,42.20189569201839,-84.55966796899449,1.3577859878045764,0,0
ss0_flat,20,10.0,-41.0,4.0,0.0,41.206795556073025,-84.42780219603621,1.3905814339683271,0,0
ss0_flat,20,10.0,-40.0,4.0,0.0,40.2119385257662,-84.28940686250037,1.4249919009549834,0,0
ss0_flat,20,10.0,-39.0,4.0,0.0,39.21734310225516,-84.14398641457105,1.4611390191956344,0,0
ss0_flat,20,10.0,-38.0,4.0,0.0,38.22302970723278,-83.99099404250548,1.4991568722648145,0,0
ss0_flat,20,10.0,-37.0,4.0,0.0,37.22902093797257,-83.8298249049704,1.5391936218480726,0,0
ss0_flat,20,10.0,-36.0,4.0,0.0,36.23534186398688,-83.6598082540901,1.581413392092047,0,0
ss0_flat,20,10.0,-35.0,4.0,0.0,35.24202037341219,-83.48019824834302,1.625998462562166,0,0
ss0_flat,20,10.0,-34.0,4.0,0.0,34.249087579087416,-83.29016319224307,1.6731518299067754,0,0
ss0_flat,20,10.0,-33.0,4.0,0.0,33.25657829663178,-83.08877288097531,1.723100211949751,0,0
